icons,meaning
":-]', '8-)', '8-)', '=]','^^','^ . ^',':-)','><', '>_<',':)'",Happy
":-D’, ':D', '=D', ':’)'",Laughing
"xd','x-D', 'xD'",Laughing
":-))', ':))'",Very happy
":-((', ':(('",Very Sad
":{', ':@',':('",Sad
:'(',Crying
":'-D', ':'D'",Happy
:<',Angry
:O',Shock
"x3',':3'",Playful
";]',';D'",Wink
"xp', ':-p', ':p', 'd:', '=p'",Playful
":-/', ':/', '=/'",Annoyed
":-|', ':|'",Unsatisfied
"8-)', '8)'",Cool
</3',sad
<3',love
o7',Salute
-.-',Sad
qq',cry
x_x',Dead
"o-o', 'o_o'",Surprised
