icons,meaning,Sentiment
"[':-]', '8-)', '8-)', '=]', '^^', '^ . ^', ':-)', '><', '>_<', ':)']",Happy,1
"[':-D', ':D', '=D', ':')']",Laughing,1
"['xd', 'x-D', 'xD']",Laughing,1
"[':-))', ':))']",Very happy,1
"[':-((', ':((']",Very Sad,0
"[':{', ':@', ':(']",Sad,0
"["":'(""]",Crying,0
"["":'-D"", "":'D""]",Happy,1
[':<'],Angry,0
[':O'],Shock,0
"['x3', ':3']",Playful,1
"[';]', ';D']",Wink,1
"['xp', ':-p', ':p', 'd:', '=p']",Playful,1
"[':-/', ':/', '=/']",Unhappy,0
"[':-|', ':|']",Unsatisfied,0
"['8-)', '8)']",Cool,1
['</3'],sad,0
['<3'],love,1
['o7'],Salute,1
['-.-'],Sad,0
['qq'],cry,0
['x_x'],Dead,0
"['o-o', 'o_o']",Surprised,1
"[' - _ - )', ' - __ - )']",bored,0
[ ' . _ . )'],unimpressed,0
