icons,Sentiment,meaning
"[':-]', '8-)', '8-)', '=]', '^^', '^ . ^', ':-)', '><', '>_<', ':)',': - ]', '8 - )', '8 - )', ' = ]', '^ ^', ': - )', '> <', '> _ <', ': )']",0.5,Happy
"[':-D', ':D', '=D', ':')',': -D', ': D', '= D', ' : ' )']",1,Laughing
"['xd', 'x-D', 'xD','x d', 'x - D', 'x D']",0.5,Laughing
"[':-))', ':))',': - ) )', ': ) )']",0.5,Very happy
"[':-((', ':((',': - ( (', ': ( (']",-0.5,Very Sad
"[':{', ':@', ':(',': {', ': @', ': (']",-0.5,Sad
"[':'(',': ' (']",-0.5,Crying
"[':'-D', ':'D', ': ' - D', ': ' D']",0.5,Happy
"[':<',': <']",-0.3,Angry
"[':O',': O']",0.2,Shock
"['x3', ':3','x 3', ': 3']",0.3,Playful
"[';]', ';D','; ]', '; D']",0.5,Wink
"['xp', ':-p', ':p', 'd:', '=p','x p', ': - p', ': p', 'd :', '= p']",0.3,Playful
"[':-/', ':/', '=/',': - /', ': /', '= /']",-0.3,Annoyed
"[':-|', ':|',': - |', ': |']",-0.3,Unsatisfied
"['8-)', '8)','8 - )', '8 )']",-0.3,Cool
"['</3','< / 3']",-0.5,sad
"['<3','< 3']",1,love
"[' o7 ',]",0.5,Salute
"['-.-','- . -']",0.3,Sad
"['x_x','x _ x']",-0.2,Dead
"['o-o', 'o_o','o - o', 'o _ o']",-0.2,Surprised
"[' - _ - )', ' - __ - )']",-0.1,bored
[ ' . _ . )'],-0.1,unimpressed
